type,title,date_added,release_year,rating,description
Movie,Dick Johnson Is Dead,25-Sep-21,2020,PG-13,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
TV Show,Blood & Water,24-Sep-21,2021,TV-MA,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth."
TV Show,Ganglands,24-Sep-21,2021,TV-MA,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war."
TV Show,Jailbirds New Orleans,24-Sep-21,2021,TV-MA,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series."
TV Show,Kota Factory,24-Sep-21,2021,TV-MA,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life."
TV Show,Midnight Mass,24-Sep-21,2021,TV-MA,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe."
Movie,My Little Pony: A New Generation,24-Sep-21,2021,PG,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it."
Movie,Sankofa,24-Sep-21,1993,TV-MA,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past."
TV Show,The Great British Baking Show,24-Sep-21,2021,TV-14,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."
Movie,The Starling,24-Sep-21,2021,PG-13,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
TV Show,"Vendetta: Truth, Lies and The Mafia",24-Sep-21,2021,TV-MA,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?"
